section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [g],acceleration y [g],acceleration z [g],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914590177e+18,-2.317073,-9.085366,1.097561,-0.069336,-0.921021,0.316833,10.8790212244946,19.0996328107461,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914590671e+18,-2.134146,-9.146341,1.158537,-0.069397,-0.922302,0.316467,11.1476271776596,18.85883952323,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914591165e+18,-2.134146,-9.390244,1.097561,-0.073547,-0.920288,0.317261,11.4024676173012,19.1000606919375,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914591659e+18,-2.256098,-9.390244,1.219512,-0.07251,-0.918152,0.315308,11.1585161508215,18.8292791376823,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914592153e+18,-2.134146,-9.573171,1.097561,-0.072327,-0.920959,0.313416,11.5256616112763,18.6804351757698,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914592647e+18,-2.012195,-9.634147,1.402439,-0.071106,-0.922852,0.313904,11.1231530191731,18.7910799785981,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914593141e+18,-2.073171,-9.756098,1.402439,-0.069214,-0.921448,0.312744,10.8242187859689,18.5526707670428,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914593635e+18,-2.073171,-9.756098,1.341463,-0.069275,-0.924255,0.313721,11.0988711155575,18.7820630849109,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914594129e+18,-2.256098,-9.634147,1.402439,-0.071655,-0.924805,0.313599,11.4363061806264,18.5960467192019,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914594623e+18,-1.95122,-9.939025,1.402439,-0.072388,-0.923157,0.313171,11.1321653260284,18.8124565037828,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914595117e+18,-1.829268,-10.182927,1.402439,-0.070923,-0.918396,0.311646,11.322823380078,18.534825871655,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914595611e+18,-1.829268,-10.060976,1.463415,-0.069885,-0.919312,0.30896,10.9038929785725,18.6138625175342,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914596105e+18,-2.012195,-10.060976,1.463415,-0.068726,-0.920959,0.310486,11.3180706369815,18.6579205462125,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914596599e+18,-2.073171,-10.121951,1.707317,-0.069458,-0.923889,0.312073,10.8828176856027,18.6619511249758,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914597093e+18,-1.829268,-10.121951,1.768293,-0.069336,-0.924561,0.313049,11.282810636395,18.7555551684258,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914597587e+18,-1.829268,-10.365854,1.52439,-0.068359,-0.924683,0.309631,11.0005051393107,18.5076325927608,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914598081e+18,-1.890244,-10.487805,1.52439,-0.067932,-0.920532,0.312683,10.9868131047179,18.8135685624933,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914598575e+18,-2.134146,-10.609756,1.585366,-0.071289,-0.919983,0.312988,11.3983708739768,18.7570557835822,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914599069e+18,-2.195122,-10.792684,1.280488,-0.069702,-0.922974,0.315735,11.0171016662187,18.9021523214987,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914599563e+18,-2.012195,-10.853659,1.402439,-0.069824,-0.921326,0.314636,11.3444378821332,18.709680532997,,,,,
